Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_30.0,C_31.0,C_32.0,C_33.0,C_34.0,P_29.0,P_30.0,P_31.0,P_32.0,P_33.0,P_34.0
AIG,Bear Call Spread,-45.1,-48.0,48.0,252.0,62.79,34.31,-0.17896825396825397,-28.000000000000004,-3.9999999999999996,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-59.74,-108.0,108.0,292.0,61.3,35.8,-0.2045890410958904,-39.0,-2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-71.87,-180.0,180.0,320.0,19.68,77.42,-0.22459375,-42.99999999999999,2.0000000000000004,2.0000000000000004,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-58.09,-7.0,7.0,193.0,61.3,35.8,-0.3009844559585492,-19.000000000000007,-3.0,-0.9999999999999996,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-72.73,-67.0,67.0,233.0,19.31,77.8,-0.31214592274678116,-30.000000000000004,-1.0000000000000009,-0.9999999999999996,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-84.86,-139.0,139.0,261.0,18.22,78.89,-0.32513409961685824,-34.0,3.0,1.0000000000000009,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-43.29,-115.0,115.0,85.0,17.15,79.96,-0.5092941176470588,-14.999999999999991,6.0,2.0000000000000004,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-31.15,-43.0,43.0,57.0,18.22,78.89,-0.5464912280701754,-10.999999999999998,1.9999999999999991,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-188.31,-1.0,1.0,299.0,13.41,83.7,-0.6297993311036789,-21.999999999999996,1.0000000000000009,-0.9999999999999996,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Call Spread,-44.17,-39.0,39.0,61.0,14.73,82.38,-0.7240983606557377,-3.9999999999999925,4.000000000000001,2.0000000000000004,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG,Bear Put Spread,-3.71,137.0,63.00000000000017,137.0,63.17,33.93,-0.02708029197080292,-23.999999999999993,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
AIG,Bear Put Spread,-5.19,70.0,30.00000000000017,70.0,62.05,35.06,-0.07414285714285715,-11.999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
AIG,Bear Put Spread,-17.38,176.0,124.00000000000017,176.0,61.67,35.43,-0.09874999999999999,-35.99999999999999,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
AIG,Bear Put Spread,-34.37,209.0,191.00000000000017,209.0,58.06,39.04,-0.16444976076555023,-47.0,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
AIG,Bear Put Spread,-18.87,109.0,91.00000000000017,109.0,58.06,39.04,-0.17311926605504588,-23.999999999999993,0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
AIG,Bear Put Spread,-15.99,85.0,15.0,85.0,65.05,32.05,-0.18811764705882353,-12.0,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
AIG,Bear Put Spread,-35.86,142.0,158.00000000000017,142.0,18.94,78.16,-0.25253521126760564,-35.0,3.0,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
AIG,Bear Put Spread,-222.38,474.99999999999994,25.000000000000227,474.99999999999994,14.06,83.04,-0.4681684210526316,-42.00000000000001,-3.0,-5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
AIG,Bear Put Spread,-53.0,95.0,105.0,95.0,16.79,80.31,-0.5578947368421052,-23.0,3.0,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
AIG,Bear Put Spread,-36.01,62.0,38.0,62.0,18.22,78.89,-0.5808064516129032,-12.0,0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
AIG,Bear Put Spread,-40.29,57.0,43.0,57.0,14.73,82.38,-0.7068421052631578,-11.000000000000002,2.0000000000000004,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
