Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_54.0,C_55.0,C_56.0,C_57.0,C_58.0,C_59.0,C_60.0,C_61.0,C_62.0,P_54.0,P_55.0,P_56.0,P_57.0,P_58.0,P_59.0,P_60.0,P_61.0,P_62.0
BMY,Bear Call Spread,-14.93,-42.999999999999986,42.999999999999986,157.0,66.68,32.84,-0.09509554140127388,-12.999999999999998,-1.0000000000000009,1.0000000000000009,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-27.79,-72.0,72.0,228.0,59.5,40.02,-0.1218859649122807,-20.0,-2.0000000000000004,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-35.59,-116.0,116.0,284.0,54.67,44.85,-0.12531690140845073,-27.0,-2.0000000000000004,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-42.35,-171.0,171.0,329.0,49.7,49.83,-0.12872340425531914,-35.0,-1.0000000000000009,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-11.1,-14.0,14.0,86.0,72.24,27.28,-0.12906976744186047,-5.999999999999997,-1.0000000000000009,1.0000000000000009,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-10.79,-21.999999999999986,21.999999999999986,78.00000000000001,64.08,35.44,-0.1383333333333333,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-52.24,-232.0,232.0,368.0,45.67,53.85,-0.14195652173913045,-42.00000000000001,-1.0000000000000009,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-55.85,-307.0,307.0,393.0,43.66,55.86,-0.1421119592875318,-48.0,0.0,1.0000000000000009,-1.0000000000000002,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-38.21,-150.0,150.0,250.0,47.68,51.84,-0.15284,-28.999999999999996,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-31.45,-95.0,95.0,205.0,52.7,46.83,-0.15341463414634146,-21.000000000000004,-0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-65.35,-382.0,382.0,418.0,40.68,58.84,-0.15633971291866028,-53.0,0.9999999999999996,1.0000000000000009,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-23.66,-51.0,51.0,149.0,57.6,41.93,-0.15879194630872484,-14.000000000000002,-0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-51.72,-286.0,286.0,314.0,41.67,57.85,-0.16471337579617834,-42.0,1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-48.11,-211.0,211.0,289.0,43.66,55.86,-0.16647058823529412,-36.00000000000001,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-61.22,-361.0,361.0,339.0,38.72,60.8,-0.18058997050147493,-47.0,2.0000000000000004,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-36.38,-119.0,119.0,181.0,44.67,54.86,-0.20099447513812155,-21.999999999999996,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-49.88,-255.0,255.0,245.0,38.72,60.8,-0.2035918367346939,-35.0,1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-46.27,-180.0,180.0,220.0,40.68,58.84,-0.21031818181818182,-29.000000000000004,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-29.62,-64.0,64.0,136.0,49.7,49.83,-0.21779411764705883,-14.000000000000002,-0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-59.38,-330.0,330.0,270.0,35.84,63.68,-0.21992592592592594,-40.0,2.0000000000000004,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-44.98,-218.0,218.0,182.0,34.9,64.63,-0.24714285714285714,-27.999999999999996,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-54.48,-293.0,293.0,207.0,33.05,66.48,-0.26318840579710145,-33.0,3.0,-0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-41.37,-143.0,143.0,157.0,37.75,61.77,-0.2635031847133758,-22.000000000000004,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-31.48,-82.0,82.0,118.0,40.68,58.84,-0.26677966101694917,-14.999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-21.82,-20.0,20.0,80.0,54.67,44.85,-0.27275,-7.000000000000001,-0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-42.16,-169.0,169.0,131.0,30.36,69.16,-0.32183206106870227,-20.999999999999996,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-51.66,-244.0,244.0,156.0,28.65,70.88,-0.33115384615384613,-26.0,3.0,-0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-24.72,-27.0,27.0,73.0,45.67,53.85,-0.33863013698630134,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-38.55,-94.0,94.0,106.0,33.05,66.48,-0.3636792452830188,-15.000000000000002,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-44.9,-189.0,189.0,111.0,23.87,75.66,-0.4045045045045045,-18.000000000000004,2.0000000000000004,-0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-35.4,-114.0,114.0,86.0,26.18,73.34,-0.4116279069767442,-13.0,1.0000000000000009,-0.9999999999999996,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-28.65,-33.0,33.0,67.0,36.79,62.73,-0.42761194029850746,-7.9999999999999964,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-37.99,-125.0,125.0,75.0,19.71,79.81,-0.5065333333333334,-10.999999999999998,2.0000000000000004,-0.9999999999999996,1.0000000000000002,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-31.79,-39.0,39.0,61.0,27.81,71.71,-0.5211475409836065,-7.000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-28.49,-50.0,50.0,50.0,21.02,78.5,-0.5698,-5.999999999999995,1.0000000000000009,-0.9999999999999996,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Call Spread,-34.38,-50.0,50.0,50.0,15.19,84.34,-0.6876000000000001,-5.000000000000004,0.9999999999999996,0.0,1.0000000000000002,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-58.84,396.0,304.00000000000034,396.0,43.66,55.86,-0.1485858585858586,-48.00000000000001,0.0,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BMY,Bear Put Spread,-68.34,421.0,379.00000000000034,421.0,40.68,58.84,-0.16232779097387173,-53.0,0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BMY,Bear Put Spread,-53.71,316.0,284.00000000000034,316.0,41.67,57.85,-0.16996835443037975,-42.0,1.0000000000000009,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMY,Bear Put Spread,-65.18,381.0,219.00000000000034,381.0,44.67,54.86,-0.1710761154855643,-42.00000000000001,-1.0000000000000009,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
BMY,Bear Put Spread,-52.51,301.0,99.00000000000034,301.0,52.7,46.83,-0.17445182724252492,-27.0,-2.0000000000000004,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
BMY,Bear Put Spread,-64.24,351.0,149.00000000000034,351.0,47.68,51.84,-0.183019943019943,-35.0,-1.0000000000000009,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
BMY,Bear Put Spread,-63.21,341.0,359.00000000000034,341.0,38.72,60.8,-0.185366568914956,-47.0,2.0000000000000004,0.0,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BMY,Bear Put Spread,-32.84,175.0,25.00000000000034,175.0,64.96,34.56,-0.18765714285714288,-13.0,-1.0000000000000009,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
BMY,Bear Put Spread,-45.9,241.0,259.0,241.0,38.72,60.8,-0.1904564315352697,-35.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BMY,Bear Put Spread,-48.69,249.0,51.00000000000034,249.0,57.6,41.93,-0.19554216867469879,-19.000000000000007,-2.0000000000000004,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
BMY,Bear Put Spread,-60.05,301.0,199.00000000000034,301.0,42.66,56.86,-0.1995016611295681,-36.0,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
BMY,Bear Put Spread,-55.4,266.0,334.0,266.0,36.79,62.73,-0.20827067669172933,-40.0,2.0000000000000004,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BMY,Bear Put Spread,-47.38,221.0,79.00000000000034,221.0,50.7,48.82,-0.21438914027149322,-20.999999999999996,-0.9999999999999996,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
BMY,Bear Put Spread,-38.01,175.0,225.0,175.0,35.84,63.68,-0.21719999999999998,-28.999999999999996,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMY,Bear Put Spread,-59.11,271.0,129.00000000000034,271.0,45.67,53.85,-0.2181180811808118,-28.999999999999996,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
BMY,Bear Put Spread,-52.24,226.0,174.0,226.0,40.68,58.84,-0.2311504424778761,-29.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
BMY,Bear Put Spread,-47.51,200.0,300.0,200.0,33.05,66.48,-0.23754999999999998,-34.0,3.0,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BMY,Bear Put Spread,-43.56,169.0,31.00000000000034,169.0,55.66,43.87,-0.25775147928994085,-13.0,-0.9999999999999996,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
BMY,Bear Put Spread,-51.3,196.0,104.0,196.0,43.66,55.86,-0.261734693877551,-22.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
BMY,Bear Put Spread,-39.57,146.0,54.0,146.0,48.69,50.83,-0.271027397260274,-14.000000000000002,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
BMY,Bear Put Spread,-44.35,160.0,140.0,160.0,36.79,62.73,-0.27718750000000003,-23.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
BMY,Bear Put Spread,-34.2,122.99999999999996,177.00000000000006,122.99999999999996,31.25,68.28,-0.278048780487805,-21.000000000000004,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-27.71,95.0,5.000000000000355,95.0,63.19,36.33,-0.2916842105263158,-6.999999999999995,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
BMY,Bear Put Spread,-43.69,147.99999999999997,252.00000000000003,147.99999999999997,28.65,70.88,-0.29520270270270277,-26.0,3.0,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-43.42,130.0,70.0,130.0,39.7,59.83,-0.334,-15.999999999999998,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
BMY,Bear Put Spread,-25.45,75.99999999999999,124.00000000000001,75.99999999999999,26.99,72.54,-0.33486842105263165,-13.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-34.95,101.0,199.0,101.0,24.62,74.9,-0.34603960396039607,-18.0,2.0000000000000004,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-40.54,107.99999999999997,92.00000000000003,107.99999999999997,32.14,67.38,-0.37537037037037047,-15.000000000000002,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-35.75,94.0,6.0,94.0,53.69,45.83,-0.3803191489361702,-6.000000000000005,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
BMY,Bear Put Spread,-24.06,61.0,139.0,61.0,20.36,79.16,-0.3944262295081967,-10.999999999999998,2.0000000000000004,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-31.68,80.0,20.0,80.0,44.67,54.86,-0.396,-7.9999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
BMY,Bear Put Spread,-14.56,35.999999999999986,64.00000000000001,35.999999999999986,22.41,77.11,-0.4044444444444446,-6.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-12.48,28.000000000000014,71.99999999999999,28.000000000000014,16.21,83.31,-0.4457142857142855,-4.999999999999999,0.9999999999999996,-0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-39.6,77.99999999999997,22.00000000000003,77.99999999999997,34.9,64.63,-0.5076923076923079,-8.000000000000002,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-31.79,61.0,39.0,61.0,27.81,71.71,-0.5211475409836065,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
