Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_59.0,C_60.0,C_61.0,C_62.0,C_63.0,C_64.0,C_65.0,C_66.0,C_67.0,P_59.0,P_60.0,P_61.0,P_62.0,P_63.0,P_64.0,P_65.0,P_66.0,P_67.0
EMR,Bear Call Spread,-23.5,-189.0,189.0,311.0,52.02,47.49,-0.07556270096463022,-41.0,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-26.95,-259.0,259.0,341.0,48.71,50.8,-0.07903225806451612,-48.0,0.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-23.05,-126.0,126.0,274.0,55.29,44.23,-0.08412408759124088,-33.00000000000001,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-19.57,-77.0,77.0,223.0,60.56,38.95,-0.08775784753363229,-25.0,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-46.56,-409.0,409.0,391.0,43.17,56.34,-0.11907928388746804,-59.00000000000001,2.0000000000000004,0.9999999999999996,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-20.97,-34.0,34.0,166.0,66.48,33.03,-0.12632530120481927,-16.0,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-53.57,-314.0,314.0,386.0,43.17,56.34,-0.13878238341968913,-56.00000000000001,1.0000000000000009,0.9999999999999996,-1.0000000000000002,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-39.81,-191.0,191.0,209.0,40.97,58.54,-0.19047846889952155,-31.999999999999996,0.9999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-36.37,-121.0,121.0,179.0,44.28,55.23,-0.20318435754189942,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-20.3,-3.0,3.0,97.0,72.66,26.85,-0.20927835051546392,-10.0,0.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-65.37,-197.0,197.0,303.0,40.97,58.54,-0.21574257425742577,-37.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-61.92,-127.0,127.0,273.0,44.28,55.23,-0.22681318681318682,-31.0,-0.9999999999999996,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-59.42,-341.0,341.0,259.0,35.58,63.93,-0.22942084942084942,-43.00000000000001,3.0,-1.0000000000000009,2.0000000000000004,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-84.97,-347.0,347.0,353.0,35.58,63.93,-0.24070821529745043,-49.00000000000001,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-35.91,-58.0,58.0,142.0,47.61,51.91,-0.2528873239436619,-17.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-61.47,-64.0,64.0,236.0,48.71,50.8,-0.26046610169491524,-23.000000000000004,-0.9999999999999996,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-66.43,-246.0,246.0,254.0,35.58,63.93,-0.2615354330708662,-40.0,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-91.98,-252.0,252.0,348.0,36.65,62.87,-0.2643103448275862,-46.0,1.0000000000000009,-1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-42.21,-147.0,147.0,153.0,35.58,63.93,-0.27588235294117647,-22.999999999999993,0.9999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-61.82,-297.0,297.0,203.0,30.45,69.06,-0.3045320197044335,-34.0,3.0,-1.0000000000000009,2.0000000000000004,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-57.98,-15.0,15.0,185.0,54.21,45.31,-0.3134054054054054,-15.000000000000002,-0.9999999999999996,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-38.76,-77.0,77.0,123.0,38.79,60.72,-0.3151219512195122,-15.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-68.83,-202.0,202.0,198.0,31.45,68.06,-0.3476262626262626,-31.0,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-32.43,-9.0,9.0,91.0,54.21,45.31,-0.35637362637362635,-9.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-37.73,-99.0,99.0,101.0,31.45,68.06,-0.3735643564356435,-14.999999999999991,0.9999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-57.34,-249.0,249.0,151.0,26.61,72.9,-0.37973509933774835,-26.0,3.0,-1.0000000000000009,2.0000000000000004,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-64.35,-154.0,154.0,146.0,26.61,72.9,-0.4407534246575342,-23.0,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-38.31,-14.0,14.0,86.0,43.17,56.34,-0.4454651162790698,-8.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-52.91,-190.0,190.0,110.0,21.38,78.13,-0.481,-18.000000000000004,3.0,-1.0000000000000009,2.0000000000000004,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-34.29,-29.0,29.0,71.0,34.53,64.98,-0.48295774647887324,-7.9999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-33.3,-40.0,40.0,60.0,25.69,73.82,-0.5549999999999999,-6.999999999999995,0.9999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-59.92,-95.0,95.0,105.0,21.38,78.13,-0.5706666666666667,-15.000000000000002,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-49.46,-120.0,120.0,80.0,16.2,83.32,-0.61825,-11.00000000000001,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-56.47,-25.0,25.0,75.0,16.2,83.32,-0.7529333333333333,-8.000000000000007,1.0000000000000009,-1.0000000000000009,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Call Spread,-42.75,-45.0,45.0,55.0,11.55,87.96,-0.7772727272727272,-3.0000000000000027,0.9999999999999996,0.0,1.0000000000000002,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-39.03,250.0,150.0,250.0,47.61,51.91,-0.15612,-34.0,0.0,1.0000000000000009,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
EMR,Bear Put Spread,-44.47,282.0,218.0,282.0,43.17,56.34,-0.1576950354609929,-42.0,0.9999999999999996,1.0000000000000009,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
EMR,Bear Put Spread,-51.18,307.0,293.0,307.0,40.97,58.54,-0.1667100977198697,-48.0,2.0000000000000004,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EMR,Bear Put Spread,-54.12,322.0,378.0,322.0,38.79,60.72,-0.16807453416149068,-53.0,3.0,0.0,1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EMR,Bear Put Spread,-40.57,215.0,85.0,215.0,50.92,48.59,-0.18869767441860466,-25.999999999999996,-0.9999999999999996,1.0000000000000009,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
EMR,Bear Put Spread,-46.78,216.0,184.0,216.0,39.88,59.63,-0.21657407407407409,-33.0,0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
EMR,Bear Put Spread,-56.44,256.0,344.0,256.0,35.58,63.93,-0.22046875,-44.0,3.0,-1.0000000000000009,1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EMR,Bear Put Spread,-53.5,241.0,259.0,241.0,37.72,61.8,-0.22199170124481327,-39.0,2.0000000000000004,-1.0000000000000009,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EMR,Bear Put Spread,-41.34,184.0,116.0,184.0,43.17,56.34,-0.22467391304347828,-25.0,0.0,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
EMR,Bear Put Spread,-44.9,186.0,314.0,186.0,32.47,67.04,-0.2413978494623656,-37.99999999999999,6.999999999999999,0.9999999999999996,2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EMR,Bear Put Spread,-35.25,146.0,154.0,146.0,36.65,62.87,-0.24143835616438356,-26.999999999999996,4.999999999999999,2.0000000000000004,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
EMR,Bear Put Spread,-41.96,171.0,229.0,171.0,34.53,64.98,-0.24538011695906434,-32.99999999999999,6.0,0.9999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EMR,Bear Put Spread,-112.24,457.0,343.0,457.0,35.58,63.93,-0.24560175054704594,-62.000000000000014,2.0000000000000004,0.9999999999999996,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMR,Bear Put Spread,-102.58,417.0,183.0,417.0,39.88,59.63,-0.24599520383693046,-51.0,0.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
EMR,Bear Put Spread,-109.3,442.0,258.0,442.0,36.65,62.87,-0.24728506787330315,-57.00000000000001,1.0000000000000009,0.9999999999999996,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMR,Bear Put Spread,-97.14,385.0,115.0,385.0,43.17,56.34,-0.2523116883116883,-43.00000000000001,-0.9999999999999996,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
EMR,Bear Put Spread,-29.81,114.00000000000001,85.99999999999999,114.00000000000001,39.88,59.63,-0.2614912280701754,-18.999999999999993,3.9999999999999996,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
EMR,Bear Put Spread,-98.68,350.0,50.0,350.0,47.61,51.91,-0.28194285714285716,-35.0,-1.9999999999999991,2.0000000000000004,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
EMR,Bear Put Spread,-42.88,149.0,51.0,149.0,47.61,51.91,-0.2877852348993289,-17.0,-0.9999999999999996,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
EMR,Bear Put Spread,-46.39,140.0,260.0,140.0,27.55,71.97,-0.33135714285714285,-27.0,3.9999999999999996,-1.0000000000000009,2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-43.46,125.0,175.0,125.0,28.5,71.01,-0.34768,-22.000000000000004,3.0,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-36.74,100.0,100.0,100.0,31.45,68.06,-0.3674,-16.000000000000004,1.9999999999999991,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-31.35,79.0,21.0,79.0,44.28,55.23,-0.3968354430379747,-10.999999999999993,3.0,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
EMR,Bear Put Spread,-47.93,105.0,195.0,105.0,21.38,78.13,-0.4564761904761905,-19.0,3.0,-1.0000000000000009,2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-31.3,68.00000000000001,31.999999999999986,68.00000000000001,34.53,64.98,-0.46029411764705874,-8.000000000000002,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-44.99,90.0,110.0,90.0,23.05,76.47,-0.49988888888888894,-14.000000000000002,2.0000000000000004,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-38.28,65.0,35.0,65.0,24.79,74.72,-0.588923076923077,-8.000000000000002,0.9999999999999996,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-44.49,75.0,125.0,75.0,16.2,83.32,-0.5932000000000001,-10.999999999999998,2.0000000000000004,-1.0000000000000009,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-41.55,60.00000000000001,39.99999999999999,60.00000000000001,17.57,81.94,-0.6924999999999999,-6.0,1.0000000000000009,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EMR,Bear Put Spread,-33.79,46.0,54.0,46.0,12.06,87.46,-0.7345652173913043,-4.999999999999999,0.9999999999999996,0.0,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
