Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_71.0,C_71.5,C_72.0,C_72.5,C_73.0,C_73.5,C_74.0,C_74.5,C_75.0,C_75.5,C_76.0,C_76.5,C_77.0,C_77.5,C_78.0,C_78.5,C_79.0,C_80.0,C_81.0,P_71.0,P_71.5,P_72.0,P_72.5,P_73.0,P_73.5,P_74.0,P_74.5,P_75.0,P_75.5,P_76.0,P_76.5,P_77.0,P_77.5,P_78.0,P_78.5,P_79.0,P_80.0,P_81.0
SBUX,Bear Call Spread,-26.76,-169.00000000000003,169.00000000000003,381.0,56.56,43.21,-0.07023622047244095,-35.0,-2.0000000000000004,3.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-25.11,-143.0,143.0,357.0,59.04,40.73,-0.07033613445378151,-31.0,-2.0000000000000004,3.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-19.14,-79.0,79.0,271.0,65.32,34.45,-0.07062730627306273,-20.0,-2.0000000000000004,3.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-21.34,-98.0,98.0,302.0,63.03,36.74,-0.07066225165562914,-24.0,-2.0000000000000004,3.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-23.65,-119.0,119.0,331.0,60.66,39.11,-0.07145015105740181,-28.000000000000004,-2.0000000000000004,3.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-12.35,-33.99999999999999,33.99999999999999,166.0,72.94,26.84,-0.07439759036144578,-10.999999999999998,-0.9999999999999996,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-17.98,-60.99999999999998,60.99999999999998,239.00000000000003,68.24,31.53,-0.07523012552301254,-17.0,-2.0000000000000004,3.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-30.55,-195.0,195.0,405.0,54.88,44.9,-0.0754320987654321,-38.00000000000001,-2.0000000000000004,3.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-32.46,-225.0,225.0,425.0,53.17,46.6,-0.0763764705882353,-42.0,-2.0000000000000004,3.0,-1.9999999999999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-15.76,-45.99999999999999,45.99999999999999,204.0,70.32,29.45,-0.07725490196078431,-14.000000000000002,-2.0000000000000004,3.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-39.19,-365.0,365.0,485.0,47.99,51.78,-0.0808041237113402,-54.0,-0.9999999999999996,3.0,-1.0000000000000002,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-37.25,-290.0,290.0,460.0,50.59,49.18,-0.08097826086956522,-48.00000000000001,-0.9999999999999996,3.0,-1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-36.39,-255.0,255.0,445.0,51.46,48.32,-0.08177528089887641,-45.0,-2.0000000000000004,3.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-39.9,-325.0,325.0,475.0,48.86,50.91,-0.08399999999999999,-51.0,-0.9999999999999996,3.0,-1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-29.33,-146.00000000000003,146.00000000000003,304.0,54.88,44.9,-0.09648026315789474,-30.000000000000004,-1.0000000000000009,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-49.93,-395.0,395.0,505.0,46.26,53.52,-0.09887128712871288,-57.00000000000001,0.0,2.0000000000000004,-1.0000000000000002,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-27.69,-120.0,120.0,280.0,57.39,42.38,-0.09889285714285714,-26.0,-1.0000000000000009,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-22.39,-127.00000000000003,127.00000000000003,222.99999999999997,53.17,46.6,-0.1004035874439462,-24.000000000000004,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-35.03,-202.0,202.0,348.0,51.46,48.32,-0.10066091954022989,-37.0,-1.0000000000000009,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-33.12,-172.0,172.0,328.0,53.17,46.6,-0.10097560975609755,-33.00000000000001,-1.0000000000000009,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-52.01,-435.00000000000006,435.00000000000006,515.0,45.39,54.39,-0.10099029126213592,-60.00000000000001,0.0,2.0000000000000004,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-41.76,-342.0,342.0,408.0,46.26,53.52,-0.10235294117647058,-49.0,0.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-26.22,-96.0,96.0,254.0,59.04,40.73,-0.1032283464566929,-23.0,-1.0000000000000009,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-39.83,-267.0,267.0,383.0,47.99,51.78,-0.10399477806788511,-43.00000000000001,0.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-20.75,-101.0,101.0,199.0,55.72,44.05,-0.10427135678391959,-20.0,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-55.23,-475.0,475.0,525.0,44.52,55.25,-0.10519999999999999,-60.00000000000001,1.0000000000000002,2.0000000000000004,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-28.1,-183.0,183.0,267.0,49.73,50.04,-0.1052434456928839,-31.0,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-9.4,-10.999999999999993,10.999999999999993,89.0,77.6,22.18,-0.10561797752808989,-5.000000000000002,-0.9999999999999996,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-38.97,-232.0,232.0,368.0,49.73,50.04,-0.10589673913043478,-40.0,-1.0000000000000009,2.0000000000000004,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-26.19,-153.0,153.0,247.0,51.46,48.32,-0.10603238866396762,-27.000000000000007,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-23.91,-75.0,75.0,225.0,61.46,38.31,-0.10626666666666666,-18.999999999999996,-1.0000000000000009,2.0000000000000004,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-34.83,-323.0,323.0,327.0,44.52,55.25,-0.1065137614678899,-43.0,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-42.47,-302.0,302.0,398.0,47.12,52.65,-0.10670854271356783,-46.0,0.0,2.0000000000000004,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-32.89,-248.0,248.0,302.0,46.26,53.52,-0.10890728476821192,-37.00000000000001,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-19.28,-77.0,77.0,173.0,57.39,42.38,-0.11144508670520231,-17.000000000000004,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-32.03,-213.0,213.0,287.0,47.99,51.78,-0.111602787456446,-34.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-21.72,-56.0,56.0,194.0,63.81,35.97,-0.11195876288659794,-15.0,-1.0000000000000009,2.0000000000000004,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-35.53,-283.0,283.0,317.0,45.39,54.39,-0.1120820189274448,-40.0,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-16.98,-56.0,56.0,144.0,59.85,39.92,-0.11791666666666667,-13.0,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-52.51,-372.0,372.0,428.0,44.52,55.25,-0.12268691588785047,-52.0,0.9999999999999996,1.0000000000000009,-1.0000000000000002,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-54.58,-412.00000000000006,412.00000000000006,437.99999999999994,43.65,56.12,-0.12461187214611874,-55.00000000000001,0.9999999999999996,1.0000000000000009,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-20.56,-37.999999999999986,37.999999999999986,162.0,66.07,33.7,-0.12691358024691357,-11.999999999999996,-1.0000000000000009,2.0000000000000004,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-57.81,-452.0,452.0,448.0,42.79,56.99,-0.12904017857142858,-55.00000000000001,1.9999999999999998,1.0000000000000009,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-14.78,-37.0,37.0,113.0,62.25,37.52,-0.13079646017699115,-9.000000000000002,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBUX,Bear Call Spread,-45.57,-353.0,353.0,347.0,42.79,56.99,-0.1313256484149856,-46.0,0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
