Underlying,Description,Name,Expected PnL,Cost of Strategy,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Leg_Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-826.88,-10550.0,10550.0,10550.0,68770.00000000198,55.8,44.19,-0.012023847607968244,0.15340991711501667,0.15340991711501667,Call,66.0,-30.0,Call,67.0,10.0,-1509.9999999999998,-70.0,339.99999999999994,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-826.88,-10550.0,10550.0,10550.0,68770.00000000198,55.8,44.19,-0.012023847607968244,0.15340991711501667,0.15340991711501667,Call,66.0,-30.0,Call,67.0,10.0,-1509.9999999999998,-70.0,339.99999999999994,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-826.88,-10550.0,10550.0,10550.0,68770.00000000198,55.8,44.19,-0.012023847607968244,0.15340991711501667,0.15340991711501667,Call,66.0,-30.0,Call,67.0,10.0,-1509.9999999999998,-70.0,339.99999999999994,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-603.59,-10450.0,10450.0,10450.0,68870.00000000198,55.27,44.73,-0.008764193407869648,0.15173515318715985,0.15173515318715985,Call,67.0,-30.0,Call,70.0,10.0,-1510.0000000000002,-100.0,390.0,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-603.59,-10450.0,10450.0,10450.0,68870.00000000198,55.27,44.73,-0.008764193407869648,0.15173515318715985,0.15173515318715985,Call,67.0,-30.0,Call,70.0,10.0,-1510.0000000000002,-100.0,390.0,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-603.59,-10450.0,10450.0,10450.0,68870.00000000198,55.27,44.73,-0.008764193407869648,0.15173515318715985,0.15173515318715985,Call,67.0,-30.0,Call,70.0,10.0,-1510.0000000000002,-100.0,390.0,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1245.12,-10450.0,10450.0,10450.0,69370.00000000198,54.19,45.81,-0.017948969295083817,0.15064148767478308,0.15064148767478308,Call,66.0,-30.0,Call,67.5,10.0,-1529.9999999999998,-70.0,339.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1245.12,-10450.0,10450.0,10450.0,69370.00000000198,54.19,45.81,-0.017948969295083817,0.15064148767478308,0.15064148767478308,Call,66.0,-30.0,Call,67.5,10.0,-1529.9999999999998,-70.0,339.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-568.33,-12000.0,12000.0,12000.0,69320.00000000198,54.19,45.81,-0.008198643969993997,0.1731102135025917,0.1731102135025917,Call,66.0,-30.0,Call,69.0,10.0,-1609.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1049.89,-10950.0,10950.0,10950.0,69370.00000000198,54.19,45.81,-0.015134640334438088,0.15784921435778704,0.15784921435778704,Call,66.0,-30.0,Call,68.0,10.0,-1559.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1245.12,-10450.0,10450.0,10450.0,69370.00000000198,54.19,45.81,-0.017948969295083817,0.15064148767478308,0.15064148767478308,Call,66.0,-30.0,Call,67.5,10.0,-1529.9999999999998,-70.0,339.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1049.89,-10950.0,10950.0,10950.0,69370.00000000198,54.19,45.81,-0.015134640334438088,0.15784921435778704,0.15784921435778704,Call,66.0,-30.0,Call,68.0,10.0,-1559.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1049.89,-10950.0,10950.0,10950.0,69370.00000000198,54.19,45.81,-0.015134640334438088,0.15784921435778704,0.15784921435778704,Call,66.0,-30.0,Call,68.0,10.0,-1559.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-568.33,-12000.0,12000.0,12000.0,69320.00000000198,54.19,45.81,-0.008198643969993997,0.1731102135025917,0.1731102135025917,Call,66.0,-30.0,Call,69.0,10.0,-1609.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-568.33,-12000.0,12000.0,12000.0,69320.00000000198,54.19,45.81,-0.008198643969993997,0.1731102135025917,0.1731102135025917,Call,66.0,-30.0,Call,69.0,10.0,-1609.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-923.23,-13550.0,13550.0,13550.0,69770.00000000198,53.11,46.89,-0.013232478142467734,0.19420954564998733,0.19420954564998733,Call,64.0,-30.0,Call,65.0,10.0,-1700.0,-80.0,250.0,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-923.23,-13550.0,13550.0,13550.0,69770.00000000198,53.11,46.89,-0.013232478142467734,0.19420954564998733,0.19420954564998733,Call,64.0,-30.0,Call,65.0,10.0,-1700.0,-80.0,250.0,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-531.63,-12550.0,12550.0,12550.0,69770.00000000198,53.11,46.89,-0.007619750609144115,0.17987673785294028,0.17987673785294028,Call,66.0,-30.0,Call,70.0,10.0,-1659.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-531.63,-12550.0,12550.0,12550.0,69770.00000000198,53.11,46.89,-0.007619750609144115,0.17987673785294028,0.17987673785294028,Call,66.0,-30.0,Call,70.0,10.0,-1659.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-923.23,-13550.0,13550.0,13550.0,69770.00000000198,53.11,46.89,-0.013232478142467734,0.19420954564998733,0.19420954564998733,Call,64.0,-30.0,Call,65.0,10.0,-1700.0,-80.0,250.0,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-531.63,-12550.0,12550.0,12550.0,69770.00000000198,53.11,46.89,-0.007619750609144115,0.17987673785294028,0.17987673785294028,Call,66.0,-30.0,Call,70.0,10.0,-1659.9999999999998,-70.0,329.99999999999994,-49.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1629.97,-11250.0,11250.0,11250.0,70070.00000000198,52.02,47.98,-0.023262023690594463,0.1605537319822989,0.1605537319822989,Call,65.0,-30.0,Call,66.0,10.0,-1640.0000000000002,-80.0,240.00000000000003,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1629.97,-11250.0,11250.0,11250.0,70070.00000000198,52.02,47.98,-0.023262023690594463,0.1605537319822989,0.1605537319822989,Call,65.0,-30.0,Call,66.0,10.0,-1640.0000000000002,-80.0,240.00000000000003,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1629.97,-11250.0,11250.0,11250.0,70070.00000000198,52.02,47.98,-0.023262023690594463,0.1605537319822989,0.1605537319822989,Call,65.0,-30.0,Call,66.0,10.0,-1640.0000000000002,-80.0,240.00000000000003,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1099.6,-14100.0,14100.0,14100.0,70220.00000000198,51.47,48.53,-0.015659356308743506,0.20079749359156368,0.20079749359156368,Call,64.0,-30.0,Call,66.0,10.0,-1759.9999999999998,-80.0,210.00000000000006,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1099.6,-14100.0,14100.0,14100.0,70220.00000000198,51.47,48.53,-0.015659356308743506,0.20079749359156368,0.20079749359156368,Call,64.0,-30.0,Call,66.0,10.0,-1759.9999999999998,-80.0,210.00000000000006,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1099.6,-14100.0,14100.0,14100.0,70220.00000000198,51.47,48.53,-0.015659356308743506,0.20079749359156368,0.20079749359156368,Call,64.0,-30.0,Call,66.0,10.0,-1759.9999999999998,-80.0,210.00000000000006,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1655.98,-11900.0,11900.0,11900.0,70420.00000000198,50.92,49.07,-0.02351576256745177,0.1689860834990012,0.1689860834990012,Call,65.0,-30.0,Call,67.0,10.0,-1690.0000000000002,-70.0,220.00000000000003,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1125.61,-14750.0,14750.0,14750.0,70570.00000000198,50.92,49.07,-0.01595026215105524,0.20901232818477522,0.20901232818477522,Call,64.0,-30.0,Call,67.0,10.0,-1809.9999999999998,-70.0,190.00000000000003,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1655.98,-11900.0,11900.0,11900.0,70420.00000000198,50.92,49.07,-0.02351576256745177,0.1689860834990012,0.1689860834990012,Call,65.0,-30.0,Call,67.0,10.0,-1690.0000000000002,-70.0,220.00000000000003,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1125.61,-14750.0,14750.0,14750.0,70570.00000000198,50.92,49.07,-0.01595026215105524,0.20901232818477522,0.20901232818477522,Call,64.0,-30.0,Call,67.0,10.0,-1809.9999999999998,-70.0,190.00000000000003,-30.0,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1655.98,-11900.0,11900.0,11900.0,70420.00000000198,50.92,49.07,-0.02351576256745177,0.1689860834990012,0.1689860834990012,Call,65.0,-30.0,Call,67.0,10.0,-1690.0000000000002,-70.0,220.00000000000003,-59.999999999999986,-20.0
RCL,ROYAL CARIBBEAN GROUP COM,Bullish Put Modified Butterfly,-1125.61,-14750.0,14750.0,14750.0,70570.00000000198,50.92,49.07,-0.01595026215105524,0.20901232818477522,0.20901232818477522,Call,64.0,-30.0,Call,67.0,10.0,-1809.9999999999998,-70.0,190.00000000000003,-30.0,-20.0
